600.119,57.024
600.165,57.041
600.293,57.124
600.175,57.026
600.173,57.043
600.241,57.129
600.164,57.210
600.192,57.281
600.170,57.221
600.178,57.062
600.158,57.177
600.175,57.068
600.304,57.200
600.225,57.239
600.251,57.313
600.255,57.320
600.214,57.350
600.223,57.379
600.335,57.480
600.243,57.424
600.254,57.341
600.190,57.473
600.434,57.531
600.339,57.410
600.337,57.402
600.337,57.508
600.175,57.494
600.276,57.438
600.227,57.587
600.442,57.570
600.241,57.651
600.229,57.645
600.351,57.632
600.325,57.690
600.302,57.742
600.290,57.632
600.197,57.656
600.323,57.640
600.179,57.652
600.215,57.724
600.269,57.707
600.216,57.693
600.225,57.744
600.218,57.701
600.187,57.667
600.302,57.765
600.188,57.675
600.185,57.740
600.218,57.860
600.251,57.936
600.190,57.798
600.414,58.010
600.223,57.882
600.359,57.829
600.199,57.872
600.338,57.809
600.270,58.014
600.237,57.940
600.352,57.866
600.261,58.249
600.250,58.070
600.218,58.047
600.190,58.035
600.131,58.014
600.268,58.003
600.275,57.961
600.318,58.027
600.164,58.232
600.241,58.041
600.143,58.072
600.222,58.262
600.229,58.199
600.239,58.087
600.090,57.985
600.293,58.186
600.153,58.011
600.219,57.985
600.236,58.029
600.207,57.967
600.164,57.903
600.125,57.997
600.231,57.880
600.170,57.847
600.176,57.847
600.155,57.732
600.214,57.733
600.179,57.855
600.237,57.907
600.148,57.725
600.073,57.774
600.158,57.636
600.117,57.612
600.089,57.612
600.108,57.603
600.087,57.599
600.130,57.615
600.132,57.559
599.999,57.556
600.146,57.536
600.056,57.545
600.117,57.528
600.028,57.539
599.925,57.422
600.086,57.454
600.007,57.395
599.903,57.387
599.896,57.345
599.805,57.347
599.816,57.329
599.791,57.329
599.879,57.288
599.748,57.160
599.740,57.280
599.845,57.169
599.668,57.247
599.628,56.962
599.588,56.932
599.606,56.892
599.556,56.877
599.543,56.829
599.534,56.824
599.499,56.858
599.435,56.844
599.421,56.740
599.475,56.671
